timestamp_iso,timestamp_epoch,dist_left_mm,dist_center_mm,dist_right_mm,steer,throttle,direction
2026-09-19T18:08:20.000625,1789834100.0006,259,909,329,0.000,1.000,FORWARD
2026-09-19T18:08:20.067497,1789834100.0675,257,909,339,-0.003,1.000,FORWARD
2026-09-19T18:08:20.134332,1789834100.1343,260,897,338,-0.018,1.000,FORWARD
2026-09-19T18:08:20.201021,1789834100.2010,263,859,346,-0.018,1.000,FORWARD
2026-09-19T18:08:20.267907,1789834100.2679,263,845,352,0.000,1.000,FORWARD
2026-09-19T18:08:20.334720,1789834100.3347,260,858,346,0.148,1.000,FORWARD
2026-09-19T18:08:20.401480,1789834100.4015,256,836,348,0.148,1.000,FORWARD
2026-09-19T18:08:20.468355,1789834100.4684,260,834,345,0.148,1.000,FORWARD
2026-09-19T18:08:20.535113,1789834100.5351,261,812,344,0.130,1.000,FORWARD
2026-09-19T18:08:20.601794,1789834100.6018,262,787,330,0.107,1.000,FORWARD
2026-09-19T18:08:20.668778,1789834100.6688,279,793,338,0.074,1.000,FORWARD
2026-09-19T18:08:20.735526,1789834100.7355,292,780,336,0.085,1.000,FORWARD
2026-09-19T18:08:20.802184,1789834100.8022,320,749,330,0.085,1.000,FORWARD
2026-09-19T18:08:20.869119,1789834100.8691,424,741,332,0.085,1.000,FORWARD
2026-09-19T18:08:20.935831,1789834100.9358,658,736,334,0.085,1.000,FORWARD
2026-09-19T18:08:21.002568,1789834101.0026,758,709,331,0.000,1.000,FORWARD
2026-09-19T18:08:21.069506,1789834101.0695,890,711,327,0.000,1.000,FORWARD
2026-09-19T18:08:21.136312,1789834101.1363,886,692,330,-0.062,1.000,FORWARD
2026-09-19T18:08:21.202977,1789834101.2030,873,677,329,-0.111,1.000,FORWARD
2026-09-19T18:08:21.270017,1789834101.2700,852,651,327,-0.111,1.000,FORWARD
2026-09-19T18:08:21.336700,1789834101.3367,878,633,339,-0.111,1.000,FORWARD
2026-09-19T18:08:21.403393,1789834101.4034,860,622,341,-0.148,1.000,FORWARD
2026-09-19T18:08:21.470289,1789834101.4703,841,612,343,-0.148,1.000,FORWARD
2026-09-19T18:08:21.537211,1789834101.5372,813,595,336,-0.245,1.000,FORWARD_LEFT
2026-09-19T18:08:21.603777,1789834101.6038,827,597,340,-0.279,1.000,FORWARD_LEFT
2026-09-19T18:08:21.670721,1789834101.6707,773,563,349,-0.302,1.000,FORWARD_LEFT
2026-09-19T18:08:21.737519,1789834101.7375,772,564,351,-0.552,0.989,FORWARD_LEFT
2026-09-19T18:08:21.804184,1789834101.8042,770,554,360,-0.600,0.955,FORWARD_LEFT
2026-09-19T18:08:21.871073,1789834101.8711,736,532,366,-0.604,0.943,FORWARD_LEFT
2026-09-19T18:08:21.937893,1789834101.9379,738,528,365,-0.604,0.943,FORWARD_LEFT
2026-09-19T18:08:22.004594,1789834102.0046,754,520,386,-0.768,0.765,FORWARD_LEFT
2026-09-19T18:08:22.071530,1789834102.0715,761,507,409,-0.828,0.682,FORWARD_LEFT
2026-09-19T18:08:22.138311,1789834102.1383,752,507,424,-0.854,0.602,FORWARD_LEFT
2026-09-19T18:08:22.205018,1789834102.2050,767,502,464,-0.858,0.591,FORWARD_LEFT
2026-09-19T18:08:22.271925,1789834102.2719,810,500,505,-0.776,0.742,FORWARD_LEFT
2026-09-19T18:08:22.338710,1789834102.3387,795,494,516,-0.776,0.754,FORWARD_LEFT
2026-09-19T18:08:22.405383,1789834102.4054,832,505,537,-0.787,0.754,FORWARD_LEFT
2026-09-19T18:08:22.472348,1789834102.4723,858,496,566,-0.694,0.860,FORWARD_LEFT
2026-09-19T18:08:22.539121,1789834102.5391,940,495,544,-0.507,0.958,FORWARD_LEFT
2026-09-19T18:08:22.605811,1789834102.6058,933,495,546,-0.567,0.958,FORWARD_LEFT
2026-09-19T18:08:22.672724,1789834102.6727,959,485,535,-0.615,0.951,FORWARD_LEFT
2026-09-19T18:08:22.739556,1789834102.7396,963,487,512,-0.604,0.947,FORWARD_LEFT
2026-09-19T18:08:22.806190,1789834102.8062,985,484,510,-0.604,0.947,FORWARD_LEFT
2026-09-19T18:08:22.873189,1789834102.8732,1036,471,484,-0.742,0.811,FORWARD_LEFT
2026-09-19T18:08:22.939948,1789834102.9399,1039,471,469,-0.836,0.636,FORWARD_LEFT
2026-09-19T18:08:23.006680,1789834103.0067,1149,474,467,-0.843,0.591,FORWARD_LEFT
2026-09-19T18:08:23.073570,1789834103.0736,1212,482,439,-0.843,0.591,FORWARD_LEFT
2026-09-19T18:08:23.140400,1789834103.1404,-1,495,441,-0.843,0.591,FORWARD_LEFT
2026-09-19T18:08:23.207010,1789834103.2070,-1,486,441,-0.746,0.807,FORWARD_LEFT
2026-09-19T18:08:23.274049,1789834103.2740,-1,499,430,-0.742,0.822,FORWARD_LEFT
2026-09-19T18:08:23.340710,1789834103.3407,-1,517,415,-0.742,0.822,FORWARD_LEFT
2026-09-19T18:08:23.407419,1789834103.4074,-1,494,419,-0.664,0.879,FORWARD_LEFT
2026-09-19T18:08:23.474327,1789834103.4743,-1,512,411,-0.548,0.932,FORWARD_LEFT
2026-09-19T18:08:23.541129,1789834103.5411,-1,511,410,-0.544,0.943,FORWARD_LEFT
2026-09-19T18:08:23.607768,1789834103.6078,-1,510,412,-0.488,0.962,FORWARD_LEFT
2026-09-19T18:08:23.674728,1789834103.6747,-1,514,393,-0.268,1.000,FORWARD_LEFT
2026-09-19T18:08:23.741529,1789834103.7415,-1,497,385,-0.216,1.000,FORWARD_LEFT
2026-09-19T18:08:23.808162,1789834103.8082,-1,486,381,-0.216,1.000,FORWARD_LEFT
2026-09-19T18:08:23.875086,1789834103.8751,-1,469,364,-0.216,1.000,FORWARD_LEFT
2026-09-19T18:08:23.941899,1789834103.9419,-1,464,363,-0.410,1.000,FORWARD_LEFT
2026-09-19T18:08:24.008568,1789834104.0086,-1,441,358,-0.451,1.000,FORWARD_LEFT
2026-09-19T18:08:24.075506,1789834104.0755,-1,439,336,-0.451,1.000,FORWARD_LEFT
